zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
92585,54211.92,0.846703673,0.052047782,0.913078754,0.556504273,0.022623939,29.45964756,0.780487805,0.275401129,0.365340333,0.066270609,0.506493506,0.003207184,0.001282874,0.000641437,38.75609756,0.182926829,0.275401129,True
92701,39839.15,0.921080139,0.027956989,0.168606001,0.578004431,0.021321113,30.80251212,0.818181818,0.369729238,0.051522887,0.006489078,0.894947094,0.000684932,0.001369863,0.003424658,34.34848485,0.166666667,0.369729238,True
92703,45336.05,0.928549654,0.021962938,0.120268106,0.563041133,0.02506862,29.57138182,0.742424242,0.444550073,0.049224507,0.006793459,0.783030388,0.001363327,0.000681663,0.001363327,32.59090909,0.257575758,0.444550073,True
92704,58146.1,0.860576658,0.022571819,0.190085772,0.642739403,0.039380703,29.06906391,0.714285714,0.364142658,0.086906759,0.007856167,0.722911782,0.001306336,0.002612671,0.002612671,34.11278195,0.308270677,0.364142658,True
92706,53526.61,0.824094439,0.029282577,0.250237802,0.555911682,0.028020873,28.24867143,0.766233766,0.395638801,0.163068368,0.004852252,0.735306946,0.002097902,0.003496503,0.000699301,35.79220779,0.285714286,0.395638801,True
92707,54970.67,0.871744174,0.026297578,0.200924919,0.578680214,0.037265356,28.82874286,0.765306122,0.361890486,0.096485965,0.009162113,0.813498305,0.001959504,0.001959504,0.003265839,34.43877551,0.357142857,0.361890486,True
92801,53999.86,0.820512182,0.038161994,0.361402977,0.55747004,0.022293423,30.8467623,0.786885246,0.427301022,0.17178991,0.033184812,0.60034205,0.0,0.005014327,0.0,37.36065574,0.270491803,0.427301022,True
92802,60331.09,0.816991046,0.027997128,0.41822268,0.546004677,0.017225212,29.7522314,0.802325581,0.328311155,0.208768757,0.01369091,0.615292488,0.001368925,0.002737851,0.001368925,35.47674419,0.302325581,0.328311155,True
92805,57187.98,0.839716921,0.038550501,0.304512782,0.619642872,0.023203378,30.13727943,0.811428571,0.401887509,0.134509809,0.014114973,0.756965075,0.00204499,0.007498296,0.000681663,35.06857143,0.268571429,0.401887509,True
92806,65609.56,0.751086876,0.057676686,0.562733562,0.654856302,0.016457682,29.37053433,0.708955224,0.389356432,0.262929323,0.017842962,0.559410363,0.003984064,0.004648074,0.001992032,37.94029851,0.26119403,0.389356432,True
92832,69356.39,0.725531003,0.055737705,0.270860141,0.572030709,0.020280095,28.38321402,0.672897196,0.385355597,0.300964806,0.032654974,0.540760127,0.00138217,0.003455425,0.0,36.1682243,0.205607477,0.385355597,True
92868,64031.37,0.735698769,0.041158537,0.600861424,0.563364842,0.016750618,29.4626569,0.681034483,0.356655999,0.323332844,0.027063749,0.510796122,0.003431709,0.006177076,0.0,34.75,0.301724138,0.356655999,True
92879,71482.44,0.790506287,0.044566067,0.573800294,0.551529968,0.028113258,29.6426929,0.74863388,0.419395335,0.285370103,0.056101706,0.511540861,0.000659631,0.003957784,0.001978892,37.50273224,0.229508197,0.419395335,False
93015,61801.83,0.863365775,0.039308176,0.596843129,0.574486855,0.033132738,30.30164915,0.711864407,0.51088659,0.22862698,0.001200892,0.759306914,0.001257862,0.0,0.001886792,36.78310751,0.355932203,0.51088659,True
93030,65794.16,0.848692694,0.072390572,0.478417657,0.648343096,0.032597015,31.21286811,0.827027027,0.395085013,0.10559242,0.025056948,0.784490443,0.001273074,0.002546149,0.001909612,35.45405405,0.297297297,0.395085013,True
93033,60128.08,0.91402027,0.045608108,0.471574669,0.533389049,0.022701597,30.24504785,0.766871166,0.409576764,0.060599497,0.018242422,0.834398277,0.0,0.001914486,0.001276324,32.83435583,0.288343558,0.409576764,True
93041,54756.31,0.819393779,0.098627787,0.593763885,0.514923342,0.043294743,29.79396396,0.783783784,0.390105377,0.295757874,0.052605642,0.527658002,0.00129199,0.002583979,0.00129199,36.3963964,0.234234234,0.390105377,True
93060,64110.76,0.848670057,0.056999162,0.591422956,0.613047599,0.023034953,30.89632941,0.823529412,0.431138586,0.195170967,0.002009634,0.771433638,0.0,0.003293808,0.001976285,36.65882353,0.2,0.431138586,True
93101,73456.72,0.664107108,0.087423313,0.286050845,0.802941905,0.012141723,26.34323473,0.562874251,0.203445148,0.4147464,0.013745063,0.509842336,0.001893939,0.002525253,0.001893939,35.11377246,0.245508982,0.203445148,False
93103,91800.65,0.594470377,0.087423313,0.453521724,0.682701601,0.010839938,27.39246406,0.71875,0.236286978,0.430018726,0.020022087,0.510011043,0.001893939,0.002525253,0.001893939,35.75,0.234375,0.236286978,False
93210,45713.07,0.893485261,0.238095238,0.506866142,0.484522867,0.031572483,31.06211591,0.818181818,0.386636411,0.30273406,0.054896063,0.583176666,0.0,0.0,0.00177305,34.15909091,0.25,0.386636411,True
93215,34361.21,0.929178644,0.20906801,0.700542501,0.413760009,0.030550974,29.88163,0.825,0.524561828,0.057465672,0.043338019,0.77141673,0.0,0.001244555,0.000622278,32.575,0.2,0.524561828,True
93257,41842.96,0.902477621,0.159879336,0.800550784,0.450834814,0.028501736,31.301448,0.82,0.438993061,0.270857822,0.006788615,0.648708974,0.0,0.001741149,0.000580383,35.82,0.28,0.438993061,True
93274,49365.09,0.88338072,0.195035461,0.688380303,0.476478843,0.043966147,31.28391802,0.808139535,0.440017496,0.344652939,0.027413373,0.5858242,0.0,0.0,0.000634921,36.63372093,0.197674419,0.440017496,True
93291,57595.62,0.74841048,0.199600798,0.631193126,0.601777744,0.021924526,28.6080322,0.723163842,0.384422723,0.321236989,0.012700274,0.565490781,0.0,0.0,0.000636132,39.2259887,0.254237288,0.384422723,True
93304,37188.8,0.916516781,0.178539225,0.425597677,0.567644764,0.02668396,31.07787167,0.8,0.414107094,0.208610356,0.113507159,0.62683317,0.000615764,0.002463054,0.003078818,34.35,0.25,0.414107094,True
93305,33134.3,0.935837397,0.165461121,0.400063168,0.487823208,0.049809146,32.2292675,0.8,0.434079619,0.174000464,0.049493465,0.746320212,0.000636537,0.000636537,0.001909612,33.95,0.325,0.434079619,True
93306,51793.54,0.819013386,0.194470925,0.602823046,0.56280433,0.038038411,29.37262587,0.734265734,0.410644214,0.310178007,0.029457364,0.612072926,0.000636132,0.000636132,0.001272265,37.3006993,0.230769231,0.410644214,True
93307,40893.89,0.952863011,0.179785331,0.599600998,0.531425903,0.022596873,30.35899841,0.746031746,0.377550227,0.115452301,0.070972162,0.776536313,0.000618429,0.002473717,0.002473717,33.80952381,0.222222222,0.377550227,True
93313,72713.24,0.842571046,0.183274021,0.663044244,0.586878767,0.026461614,31.944544,0.808,0.420871855,0.262926989,0.078847488,0.529506591,0.000620347,0.00248139,0.003101737,37.48,0.304,0.420871855,False
93454,57592.46,0.83717718,0.146750524,0.493243452,0.663785749,0.015820637,29.73092561,0.792682927,0.349742998,0.270497691,0.01208312,0.6493843,0.001229256,0.003073141,0.003073141,37.7195122,0.146341463,0.349742998,True
93458,48670.22,0.92866007,0.126157407,0.53881943,0.60929585,0.02224863,31.04443108,0.824324324,0.346310743,0.104615493,0.005729699,0.836994464,0.001834862,0.001834862,0.003058104,35.82432432,0.243243243,0.346310743,True
93550,46713.0,0.910266871,0.037750385,0.752254408,0.571703746,0.03914846,31.64322523,0.943925234,0.450635655,0.155479742,0.131267851,0.669126203,0.00064433,0.003221649,0.00193299,36.95327103,0.327102804,0.450635655,True
93552,55752.53,0.916513601,0.131107492,0.771542126,0.493923927,0.02624365,31.37674058,0.768115942,0.40778272,0.12555923,0.121766193,0.696070803,0.000638978,0.003833866,0.002555911,35.68115942,0.217391304,0.40778272,True
93618,40869.03,0.909451852,0.161196911,0.681394566,0.618392035,0.036589831,29.47392093,0.76744186,0.404615188,0.136681438,0.001575579,0.834958149,0.0,0.0,0.000636132,34.25581395,0.255813953,0.404615188,True
93630,44299.49,0.91029439,0.177446103,0.796124455,0.43058716,0.037773368,30.47974359,0.769230769,0.450106226,0.193034826,0.000104739,0.756218905,0.0,0.001919386,0.001279591,36.02564103,0.282051282,0.450106226,True
93635,47013.74,0.893716462,0.25862069,0.701516613,0.616471396,0.022406696,29.13699176,0.788235294,0.321605833,0.246340914,0.018089019,0.685181015,0.000600962,0.003004808,0.0,36.81176471,0.176470588,0.321605833,True
93637,47873.74,0.873113085,0.216393443,0.738851226,0.597964938,0.032975622,31.38454023,0.885057471,0.376743808,0.232779335,0.027257709,0.689202042,0.0,0.001867995,0.00124533,38.95402299,0.287356322,0.376743808,True
93638,45236.14,0.932356257,0.099257885,0.669494252,0.4340697,0.061311242,29.88719111,0.866666667,0.43574877,0.140678703,0.025757516,0.812171611,0.0,0.001935484,0.002580645,38.37777778,0.155555556,0.43574877,True
93654,48500.59,0.855115285,0.194767442,0.620835402,0.583110968,0.035670253,29.93230781,0.8125,0.376677372,0.243070566,0.007533376,0.685060394,0.000649351,0.003896104,0.001298701,35.578125,0.15625,0.376677372,True
93657,67808.01,0.836716132,0.194748359,0.74103437,0.488943229,0.036553244,29.40380517,0.74137931,0.368171171,0.261201199,0.002445486,0.682174154,0.000648929,0.004542505,0.001946788,36.17241379,0.24137931,0.368171171,True
93662,42916.91,0.899226544,0.066918002,0.666558773,0.418634787,0.05541391,30.94580222,0.777777778,0.504939291,0.13991183,0.003215221,0.781696443,0.0,0.000657895,0.001315789,35.75555556,0.311111111,0.504939291,True
93703,33232.06,0.926915296,0.049256506,0.50354635,0.544083383,0.078379031,32.38494146,0.87804878,0.375097219,0.145963824,0.05719136,0.604519113,0.0,0.002680965,0.002010724,35.09756098,0.195121951,0.375097219,True
93705,37229.71,0.873457493,0.051067781,0.578652022,0.534425033,0.021736163,31.10437391,0.855072464,0.428462983,0.25957525,0.115113013,0.543695692,0.0,0.001915709,0.001915709,36.14492754,0.188405797,0.428462983,True
93728,36644.54,0.826008609,0.052826691,0.679368429,0.603753062,0.043186138,29.76307234,0.70212766,0.425820062,0.311742183,0.043650287,0.589406509,0.0,0.001337793,0.002006689,36.10638298,0.127659574,0.425820062,True
93901,60461.48,0.773966919,0.04159132,0.611105938,0.550071088,0.047370965,28.70560917,0.678899083,0.282682493,0.350056596,0.016504181,0.560886552,0.001298701,0.001298701,0.002597403,38.56880734,0.183486239,0.282682493,True
93905,45002.8,0.953023256,0.049638989,0.271462016,0.65957308,0.031833165,31.99423571,0.821428571,0.418336962,0.035808372,0.00204898,0.933668325,0.00130719,0.00130719,0.002614379,34.64285714,0.178571429,0.418336962,True
93906,61603.91,0.869800614,0.040687161,0.534837736,0.518440088,0.033945522,30.71384878,0.792682927,0.391384735,0.159226587,0.022578775,0.699706993,0.001308044,0.001308044,0.002616089,36.98780488,0.243902439,0.391384735,True
93907,69115.61,0.801808939,0.102702703,0.709825194,0.612434173,0.022049074,29.03440526,0.754385965,0.363929769,0.381157553,0.016168436,0.503797806,0.000658762,0.001317523,0.002635046,38.57894737,0.157894737,0.363929769,True
94063,67478.07,0.798312669,0.019672131,0.059076983,0.62419771,0.032819691,28.77852113,0.661971831,0.240981901,0.179003473,0.026110911,0.698317164,0.0,0.002726653,0.000681663,34.83098592,0.366197183,0.240981901,True
94601,47121.58,0.800576263,0.022406639,0.178297612,0.689959124,0.032753837,29.57279492,0.677966102,0.426214683,0.093509897,0.158748437,0.519287657,0.00069735,0.0013947,0.0,34.72881356,0.322033898,0.426214683,True
95020,90955.5,0.743798174,0.058675608,0.722255296,0.55669381,0.015159366,28.82407224,0.764258555,0.350767928,0.322413793,0.014313598,0.582400781,0.00132626,0.00132626,0.00066313,39.19771863,0.288973384,0.350767928,False
95023,74520.49,0.819822356,0.209039548,0.622236775,0.598387532,0.02081367,29.63120067,0.793333333,0.338099816,0.34236458,0.0080909,0.599000882,0.000672495,0.00268998,0.00268998,38.87333333,0.186666667,0.338099816,False
95076,69449.79,0.824328508,0.050666667,0.617913528,0.635945007,0.021884496,29.16417,0.757142857,0.305966883,0.242781111,0.003501482,0.709727118,0.001986755,0.003311258,0.001324503,36.72857143,0.221428571,0.305966883,True
95110,75366.3,0.694068266,0.031734317,0.247402305,0.809192856,0.020538095,27.51663043,0.608695652,0.302644252,0.200207577,0.026414115,0.623559938,0.001347709,0.003369272,0.000673854,35.62318841,0.231884058,0.302644252,False
95111,71260.73,0.825304063,0.072419106,0.460340299,0.61248846,0.021534909,29.51575,0.767241379,0.410294116,0.086229707,0.027114106,0.516335393,0.001321004,0.002642008,0.001321004,34.39655172,0.327586207,0.410294116,False
95116,51993.67,0.840243196,0.043412034,0.099664944,0.535761727,0.021648358,29.7895908,0.781609195,0.408879517,0.07095151,0.022661044,0.65507068,0.001321004,0.00330251,0.000660502,33.59770115,0.264367816,0.408879517,True
95122,59334.37,0.865120655,0.055214724,0.340712388,0.548386369,0.030826532,30.4608241,0.807228916,0.422928159,0.026832315,0.020398035,0.585536561,0.00330033,0.003960396,0.002640264,31.93975904,0.313253012,0.422928159,True
