index,zipcode,age_years,height_in_inches,bmi,fastfood_consumption,Fresh_FV,MedianFamilyIncome,lapophalfshare,no_college,higher_ed_frac,white_frac,black_frac,hispanic_frac,asian_frac,yelp_category_fastfood_frac,male_frac,soda_consumption
8806,92201,37.15584416,65.68314545,30.10586364,0.374444102,0.571996014,53546.71,0.623057221,0.881660208,0.118339792,0.191042275,0.029843566,0.750155193,0.019616364,0.140681004,0.220779221,0.035656019
8807,92203,38.8902439,65.77320732,27.92637195,0.346572929,0.533658492,78026.61,0.829257621,0.728179427,0.271820573,0.48051599,0.021835528,0.446116635,0.025967482,0.156036446,0.195121951,0.045538253
8808,92211,43.75925926,66.75703704,27.63555741,0.256811828,0.764387808,72987.27,0.84016467,0.596157486,0.403842514,0.796369248,0.015920075,0.124070991,0.033220972,0.11040146,0.277777778,0.009092894
8809,92220,41.46938776,66.55102041,32.56477143,0.357555821,0.592845198,47741.83,0.785248225,0.847151294,0.152848706,0.40183076,0.073864838,0.425666898,0.043986587,0.144310823,0.204081633,0.027275166
8810,92223,38.88167939,66.29575992,29.65150191,0.375200575,0.545866726,70327.51,0.853439298,0.7616385,0.2383615,0.44791583,0.046622761,0.399224962,0.07244398,0.068014706,0.240458015,0.032795379
8811,92227,36.42592593,65.62814815,30.88076481,0.383501865,0.615374389,54636.65,0.691893494,0.882393141,0.117606859,0.150663717,0.013532448,0.812979351,0.009734513,0.154727794,0.222222222,0.041213015
8812,92231,33.28125,67.1203,29.1015125,0.454325657,0.692234157,42067.64,0.583555269,0.855445545,0.144554455,0.01759421,0.000324432,0.971974045,0.009208884,0.152354571,0.59375,0.040081149
8813,92234,38.48809524,66.22190476,30.43321429,0.464724186,0.527203112,51756.91,0.513975775,0.8199367,0.1800633,0.312451881,0.023735752,0.604904888,0.041781684,0.113843352,0.273809524,0.028201443
8814,92236,29.85714286,64.4147619,32.28813333,0.429891596,0.605834244,42798.58,0.719771065,0.966145518,0.033854482,0.016952226,0.006368416,0.974186384,0.001042517,0.152956298,0.214285714,0.031082382
8815,92243,34.40243902,65.68146341,31.17812439,0.40247628,0.582702794,52961.22,0.705266808,0.826960833,0.173039167,0.119332322,0.017824987,0.831643905,0.019949418,0.151098901,0.292682927,0.03330452
8816,92251,36.34782609,65.82484203,27.16571159,0.361897625,0.664407852,61820.8,0.902113657,0.837645214,0.162354786,0.160072902,0.064989331,0.728396159,0.016758535,0.168141593,0.246376812,0.031484966
8817,92253,42.47244094,65.98375197,27.9591748,0.296162191,0.746486907,67710.28,0.898831404,0.642635221,0.357364779,0.589603144,0.017826804,0.339748954,0.029237987,0.137837838,0.212598425,0.016926605
8818,92260,42.88,65.317976,27.916622,0.244123911,0.588369856,73941.44,0.687885601,0.682667194,0.317332806,0.607081634,0.018827215,0.311225395,0.042826742,0.135746606,0.18,0.014108944
8819,92262,45.44186047,66.8372093,29.26414651,0.328410856,0.585587543,57242.15,0.672700586,0.661557696,0.338442304,0.558107471,0.066144189,0.303472298,0.037770763,0.132848044,0.395348837,0.020910322
8820,92264,47.64705882,67.82250588,29.16659118,0.262199197,0.697897249,52204.15,0.544216781,0.627155553,0.372844447,0.691374254,0.01440995,0.206340378,0.059662251,0.125791855,0.441176471,0.013021906
8821,92270,43.75757576,67.24121212,27.31154242,0.267826261,0.478170999,79930.71,0.75415955,0.554376989,0.445623011,0.848903558,0.012530768,0.087603491,0.034571493,0.112932605,0.303030303,0.048384663
8822,92277,33.74496644,66.23533087,28.76553691,0.326856255,0.55267977,43603.79,0.886153369,0.786192214,0.213807786,0.595804894,0.078533378,0.217204928,0.0326286,0.148148148,0.308724832,0.024264725
8823,92284,38.65909091,66.58636364,29.70727955,0.340408392,0.568161057,51023.57,0.89389333,0.85881651,0.14118349,0.698104449,0.052069632,0.178065764,0.020116054,0.144295302,0.159090909,0.020854026
8824,92301,34.82608696,65.80434783,32.59281739,0.355802662,0.515714561,48188.68,0.981050787,0.93731693,0.06268307,0.163836468,0.177159233,0.608853389,0.017225085,0.233057851,0.282608696,0.03617818
8825,92307,40.15315315,65.71927928,29.11124955,0.322185116,0.694103453,60147.09,0.939266421,0.81984431,0.18015569,0.556903299,0.076847316,0.313998393,0.024233471,0.218204489,0.198198198,0.024809162
8826,92308,39.77205882,66.12970588,29.34543897,0.338136402,0.536934699,56292.13,0.908782106,0.853684491,0.146315509,0.536676182,0.071838153,0.342186918,0.028223905,0.067843866,0.220588235,0.017812554
8827,92310,33.63157895,65.97216316,28.49753158,0.326723113,0.555892767,43784.64,0.909438396,0.661862528,0.338137472,0.478419192,0.154332227,0.231337689,0.076362857,0.333333333,0.197368421,0.052855799
8828,92311,37.77333333,66.1296,31.54592533,0.404111576,0.5039201,56619.17,0.745107394,0.894179621,0.105820379,0.337583181,0.118220364,0.456657441,0.024232966,0.321428571,0.293333333,0.036186204
8829,92313,39.48484848,65.93907273,31.32156364,0.397322565,0.534402553,58148.51,0.497296409,0.704785077,0.295214923,0.389157014,0.055099743,0.472570785,0.056306306,0.088055798,0.257575758,0.046306421
8830,92316,31.95652174,65.89130435,31.86287174,0.488198221,0.508146595,57300.51,0.687689675,0.920892161,0.079107839,0.122556316,0.034666402,0.813535775,0.009857431,0.082037997,0.282608696,0.045093641
8831,92324,36.00826446,65.9995314,30.72188017,0.43165211,0.533765571,57153.3,0.46508292,0.871120944,0.128879056,0.170744554,0.070615421,0.692748156,0.046946682,0.073149742,0.231404959,0.037168871
8832,92325,46.26470588,67.05647059,29.94461176,0.272253869,0.590906976,53400.71,0.818088535,0.78776509,0.21223491,0.76418506,0.016086794,0.174086544,0.015338571,0.059329321,0.205882353,0.076140036
8833,92335,50.48,64.72304,31.0956544,0.440485012,0.509064257,51778.21,0.530162928,0.927248418,0.072751582,0.093602075,0.046599178,0.825755205,0.017844346,0.090601185,0.16,0.035955087
8834,92336,38.8956044,65.98582418,29.50522775,0.43575435,0.505593014,79587.41,0.669628193,0.767762226,0.232237774,0.19182935,0.11253873,0.562130306,0.09490174,0.094754653,0.269230769,0.022995855
8835,92337,34.95798319,65.9179042,29.8507479,0.439827415,0.54241306,67333.89,0.67399027,0.844984541,0.155015459,0.114347136,0.098658955,0.700900855,0.062727133,0.08411215,0.268907563,0.03239614
8836,92345,39.02643172,65.8276652,29.85728987,0.352418963,0.540243757,54889.47,0.858360431,0.906390321,0.093609679,0.376698646,0.040594865,0.548869214,0.013749476,0.095588235,0.198237885,0.021698412
8837,92346,42.1,65.59042105,29.60770895,0.344880796,0.560013864,66146.1,0.512642936,0.80057128,0.19942872,0.354111406,0.103133289,0.427072281,0.085460875,0.054451167,0.221052632,0.015438145
8838,92354,35.47572816,65.4540165,27.98158155,0.310593433,0.651442903,64658.29,0.545847455,0.503800363,0.496199637,0.313886371,0.100415017,0.255068454,0.301674379,0.071366406,0.213592233,0.00943362
8839,92373,38.7593361,66.25955726,28.10658299,0.323040714,0.65799445,95898.34,0.668320439,0.543467482,0.456532518,0.628495832,0.065321915,0.201029901,0.066346126,0.054451167,0.211618257,0.019885175
8840,92374,38.57476636,66.59659252,29.06677477,0.350461724,0.534009847,73646.26,0.670104174,0.708420265,0.291579735,0.430642671,0.05136061,0.390572228,0.083156422,0.050862069,0.271028037,0.028170647
8841,92376,36.73529412,65.02852941,32.36972426,0.492098904,0.468596491,49425.55,0.397850974,0.904085147,0.095914853,0.088041744,0.112442783,0.764329059,0.01867058,0.075834176,0.191176471,0.03679364
8842,92377,36.18333333,65.64933333,31.85597833,0.456724619,0.56564497,78336.27,0.697623313,0.841334942,0.158665058,0.159744723,0.117329406,0.667108493,0.028571429,0.07472712,0.2,0.028184606
8843,92392,37.32716049,65.87486543,30.73070926,0.39410264,0.551960341,59817.72,0.869588787,0.866433503,0.133566497,0.263547738,0.140941576,0.519185401,0.029454621,0.105829596,0.234567901,0.02297876
8844,92394,36.74137931,65.87724138,31.48247414,0.324295944,0.546583723,40312.38,0.900187126,0.906765288,0.093234712,0.172501874,0.192686787,0.56181803,0.042452175,0.227488152,0.293103448,0.022304298
8845,92399,39.34602076,66.33411765,28.6817872,0.339545149,0.594901141,70819.3,0.780931167,0.795379258,0.204620742,0.597128922,0.014723475,0.335621607,0.02144106,0.050832603,0.21799308,0.024311725
8846,92404,36.15463918,65.4742268,32.24724845,0.375903235,0.498937498,40760.93,0.499325941,0.888428294,0.111571706,0.193026661,0.157240628,0.585174844,0.031053151,0.076521739,0.18556701,0.030209805
8847,92405,38.15555556,65.46587556,32.59393333,0.392663292,0.460356162,41493.33,0.360237057,0.903358143,0.096641857,0.171589123,0.140080945,0.645081446,0.016021674,0.07008547,0.155555556,0.041287124
8848,92407,38.0591716,66.07381834,30.47654556,0.392384018,0.476364585,54253.77,0.790671702,0.859123983,0.140876017,0.220179058,0.103028416,0.594270144,0.052736473,0.053268765,0.230769231,0.029906827
8849,92410,36.18181818,66.27030303,30.62528182,0.392654509,0.536112157,31399.44,0.424942336,0.948932743,0.051067257,0.076654336,0.108487464,0.76863954,0.022071517,0.073819742,0.393939394,0.01514972
8850,92501,38.13888889,65.90055556,31.06779583,0.399720255,0.517531858,56148.39,0.664093299,0.811728395,0.188271605,0.301478953,0.057838453,0.557269625,0.03745165,0.087301587,0.236111111,0.031045066
8851,92503,38.272,65.90336,30.2636316,0.366460836,0.585033571,60305.42,0.527276176,0.824074397,0.175925603,0.283465739,0.04095545,0.590679471,0.065001223,0.080631754,0.2,0.028705861
8852,92504,37.88571429,65.95886057,29.83360171,0.390031953,0.542605864,71504.26,0.634060305,0.825799491,0.174200509,0.34376535,0.065293664,0.517788225,0.045873974,0.048535901,0.262857143,0.027808989
8853,92505,35.45864662,65.4866782,30.11033233,0.386563304,0.538079398,55205.35,0.446479409,0.830021928,0.169978072,0.233819535,0.049512122,0.602353888,0.076752842,0.068504595,0.240601504,0.034577409
8854,92506,41.53361345,66.41030966,28.72336513,0.356696784,0.62382062,84533.52,0.642282377,0.623437055,0.376562945,0.545178896,0.045525427,0.320583904,0.044637443,0.061259707,0.231092437,0.022324259
8855,92507,33.83068783,66.35880582,28.3713873,0.379009183,0.554760132,59729.41,0.550432536,0.74390037,0.25609963,0.249254538,0.079481054,0.51101191,0.120529409,0.083550914,0.28042328,0.022058656
8856,92508,40.34361233,66.51638767,29.31312555,0.373434711,0.538931566,97154.45,0.774319989,0.656726829,0.343273171,0.45286757,0.072497393,0.334906152,0.090797706,0.087362171,0.251101322,0.022818954
8857,92509,35.98051948,66.17974026,31.69081299,0.401776666,0.526243348,58549.34,0.696458062,0.895706815,0.104293185,0.225969185,0.023832008,0.697912525,0.030914513,0.081911263,0.233766234,0.030406185
8858,92530,38.17605634,66.09525986,30.48585282,0.368233704,0.564878908,64666.76,0.913215276,0.887766138,0.112233862,0.339608847,0.029921404,0.577664047,0.024620727,0.054320988,0.232394366,0.022834816
8859,92532,37.8989899,66.15030303,29.23043434,0.365583934,0.546478909,66884.35,0.857950499,0.761602128,0.238397872,0.409924488,0.053532902,0.375179791,0.069938871,0.068262411,0.212121212,0.009647639
8860,92543,38.47368421,66.31438596,32.02726316,0.420232759,0.487037253,45166.06,0.564758313,0.92691654,0.07308346,0.380120123,0.08965965,0.490855473,0.012120556,0.060579456,0.245614035,0.024050231
8861,92544,37.85436893,66.34796117,28.84029417,0.358541698,0.630696905,54720.56,0.746591704,0.864638391,0.135361609,0.541131676,0.03648863,0.356552089,0.019756742,0.1359045,0.194174757,0.030847049
8862,92545,40.7029703,66.34505446,30.08369505,0.359925391,0.572647719,48148.56,0.710268824,0.860542753,0.139457247,0.487871943,0.060787587,0.361042915,0.042669154,0.103130755,0.247524752,0.022096778
