County,Pop
"Scott County, Arkansas","9,833"
"Searcy County, Arkansas","7,831"
"Sebastian County, Arkansas","127,800"
"Sevier County, Arkansas","15,844"
"Sharp County, Arkansas","17,280"
"Stone County, Arkansas","12,358"
"Union County, Arkansas","39,049"
"Van Buren County, Arkansas","15,797"
"Washington County, Arkansas","245,866"
"White County, Arkansas","76,822"
"Woodruff County, Arkansas","6,276"
"Yell County, Arkansas","20,259"
"Alameda County, California","1,682,331"
"Alpine County, California","1,201"
"Amador County, California","40,474"
"Butte County, California","211,631"
"Calaveras County, California","45,285"
"Colusa County, California","21,837"
"Contra Costa County, California","1,165,927"
"Del Norte County, California","27,745"
"El Dorado County, California","191,184"
"Fresno County, California","1,008,650"
"Glenn County, California","28,915"
"Humboldt County, California","136,465"
"Imperial County, California","179,709"
"Inyo County, California","19,025"
"Kern County, California","909,244"
"Kings County, California","152,488"
"Lake County, California","68,158"
"Lassen County, California","32,730"
"Los Angeles County, California","10,014,042"
"Madera County, California","156,259"
"Marin County, California","262,318"
"Mariposa County, California","17,128"
"Mendocino County, California","91,595"
"Merced County, California","281,202"
"Modoc County, California","8,700"
"Mono County, California","13,198"
"Monterey County, California","439,036"
"Napa County, California","138,024"
"Nevada County, California","102,235"
"Orange County, California","3,186,979"
"Placer County, California","404,740"
"Plumas County, California","19,796"
"Riverside County, California","2,418,177"
"Sacramento County, California","1,585,046"
"San Benito County, California","64,207"
"San Bernardino County, California","2,181,662"
"San Diego County, California","3,298,635"
"San Francisco County, California","873,959"
"San Joaquin County, California","779,227"
"San Luis Obispo County, California","282,443"
"San Mateo County, California","764,432"
"Santa Barbara County, California","448,217"
"Santa Clara County, California","1,936,274"
"Santa Cruz County, California","270,869"
"Shasta County, California","182,152"
"Sierra County, California","3,234"
"Siskiyou County, California","44,075"
"Solano County, California","453,490"
"Sonoma County, California","488,875"
"Stanislaus County, California","552,880"
"Sutter County, California","99,631"
"Tehama County, California","65,831"
"Trinity County, California","16,112"
"Tulare County, California","473,117"
"Tuolumne County, California","55,623"
"Ventura County, California","843,843"
"Yolo County, California","216,405"
"Yuba County, California","81,578"
"Adams County, Colorado","519,582"
"Alamosa County, Colorado","16,381"
"Arapahoe County, Colorado","655,058"
"Archuleta County, Colorado","13,356"
"Baca County, Colorado","3,510"
"Bent County, Colorado","5,651"
"Boulder County, Colorado","330,764"
"Broomfield County, Colorado","74,105"
"Chaffee County, Colorado","19,473"
"Cheyenne County, Colorado","1,748"
"Clear Creek County, Colorado","9,394"
"Conejos County, Colorado","7,467"
"Costilla County, Colorado","3,496"
"Crowley County, Colorado","5,919"
"Custer County, Colorado","4,703"
"Delta County, Colorado","31,199"
"Denver County, Colorado","715,538"
"Dolores County, Colorado","2,326"
"Douglas County, Colorado","357,998"
"Eagle County, Colorado","55,730"
"Elbert County, Colorado","26,049"
"El Paso County, Colorado","730,402"
"Fremont County, Colorado","48,938"
"Garfield County, Colorado","61,688"
"Gilpin County, Colorado","5,810"
"Grand County, Colorado","15,717"
"Gunnison County, Colorado","16,917"
"Hinsdale County, Colorado",784
"Huerfano County, Colorado","6,816"
"Jackson County, Colorado","1,379"
"Jefferson County, Colorado","582,902"
"Kiowa County, Colorado","1,445"
"Kit Carson County, Colorado","7,086"
"Lake County, Colorado","7,428"
"La Plata County, Colorado","55,639"
"Larimer County, Colorado","359,066"
"Las Animas County, Colorado","14,557"
"Lincoln County, Colorado","5,677"
"Logan County, Colorado","21,527"
"Mesa County, Colorado","155,710"
"Mineral County, Colorado",865
"Moffat County, Colorado","13,291"
"Montezuma County, Colorado","25,846"
"Montrose County, Colorado","42,680"
"Morgan County, Colorado","29,106"
"Otero County, Colorado","18,692"
"Ouray County, Colorado","4,880"
"Park County, Colorado","17,395"
"Phillips County, Colorado","4,537"
"Pitkin County, Colorado","17,358"
"Prowers County, Colorado","11,995"
"Pueblo County, Colorado","168,168"
"Rio Blanco County, Colorado","6,531"
"Rio Grande County, Colorado","11,539"
"Routt County, Colorado","24,824"
"Saguache County, Colorado","6,372"
"San Juan County, Colorado",703
"San Miguel County, Colorado","8,071"
"Sedgwick County, Colorado","2,402"
"Summit County, Colorado","31,052"
"Teller County, Colorado","24,711"
"Washington County, Colorado","4,814"
"Weld County, Colorado","328,976"
"Yuma County, Colorado","9,990"
"Capitol Planning Region, Connecticut","976,269"
"Greater Bridgeport Planning Region, Connecticut","325,777"
"Lower Connecticut River Valley Planning Region, Connecticut","174,221"
"Naugatuck Valley Planning Region, Connecticut","450,447"
"Northeastern Connecticut Planning Region, Connecticut","95,344"
"Northwest Hills Planning Region, Connecticut","112,456"
"South Central Connecticut Planning Region, Connecticut","570,453"
"Southeastern Connecticut Planning Region, Connecticut","280,444"
"Western Connecticut Planning Region, Connecticut","620,531"
"Kent County, Delaware","181,856"
"New Castle County, Delaware","570,721"
"Sussex County, Delaware","237,380"
"District of Columbia, District of Columbia","689,546"
"Alachua County, Florida","278,475"
"Baker County, Florida","28,263"
"Bay County, Florida","175,204"
"Bradford County, Florida","28,306"
"Brevard County, Florida","606,603"
"Broward County, Florida","1,944,376"
"Calhoun County, Florida","13,644"
"Charlotte County, Florida","186,850"
"Citrus County, Florida","153,855"
"Clay County, Florida","218,250"
"Collier County, Florida","375,760"
"Columbia County, Florida","69,701"
"DeSoto County, Florida","33,975"
"Dixie County, Florida","16,758"
"Duval County, Florida","995,560"
"Escambia County, Florida","321,897"
"Flagler County, Florida","115,383"
"Franklin County, Florida","12,452"
"Gadsden County, Florida","43,820"
"Gilchrist County, Florida","17,862"
"Glades County, Florida","12,127"
"Gulf County, Florida","14,200"
"Hamilton County, Florida","14,006"
"Hardee County, Florida","25,326"
"Hendry County, Florida","39,626"
"Hernando County, Florida","194,515"
"Highlands County, Florida","101,238"
"Hillsborough County, Florida","1,459,773"
"Holmes County, Florida","19,657"
"Indian River County, Florida","159,789"
"Jackson County, Florida","47,309"
"Jefferson County, Florida","14,507"
"Lafayette County, Florida","8,225"
"Lake County, Florida","383,959"
"Lee County, Florida","760,820"
"Leon County, Florida","292,203"
"Levy County, Florida","42,912"
"Liberty County, Florida","7,976"
"Madison County, Florida","17,970"
"Manatee County, Florida","399,705"
"Marion County, Florida","375,906"
"Martin County, Florida","158,435"
"Miami-Dade County, Florida","2,701,762"
"Monroe County, Florida","82,879"
"Nassau County, Florida","90,355"
"Okaloosa County, Florida","211,664"
"Okeechobee County, Florida","39,636"
"Orange County, Florida","1,429,901"
"Osceola County, Florida","388,664"
"Palm Beach County, Florida","1,492,198"
"Pasco County, Florida","561,897"
"Pinellas County, Florida","959,103"
"Polk County, Florida","725,041"
"Putnam County, Florida","73,327"
"St. Johns County, Florida","273,427"
"St. Lucie County, Florida","329,227"
"Santa Rosa County, Florida","187,991"
"Sarasota County, Florida","434,005"
"Seminole County, Florida","470,855"
"Sumter County, Florida","129,751"
"Suwannee County, Florida","43,472"
"Taylor County, Florida","21,800"
"Union County, Florida","16,138"
"Volusia County, Florida","553,561"
"Wakulla County, Florida","33,766"
"Walton County, Florida","75,306"
"Washington County, Florida","25,322"
"Appling County, Georgia","18,440"
"Atkinson County, Georgia","8,289"
"Bacon County, Georgia","11,140"
"Baker County, Georgia","2,875"
"Baldwin County, Georgia","43,795"
"Banks County, Georgia","18,037"
"Barrow County, Georgia","83,507"
"Bartow County, Georgia","108,888"
"Ben Hill County, Georgia","17,195"
"Berrien County, Georgia","18,166"
"Bibb County, Georgia","157,347"
"Bleckley County, Georgia","12,585"
"Brantley County, Georgia","18,021"
"Brooks County, Georgia","16,299"
"Bryan County, Georgia","44,739"
"Bulloch County, Georgia","79,647"
"Burke County, Georgia","24,594"
"Butts County, Georgia","25,440"
"Calhoun County, Georgia","5,576"
"Camden County, Georgia","54,769"
"Candler County, Georgia","10,990"
"Carroll County, Georgia","119,141"
"Catoosa County, Georgia","67,873"
"Charlton County, Georgia","12,518"
"Chatham County, Georgia","295,280"
"Chattahoochee County, Georgia","9,568"
"Chattooga County, Georgia","24,969"
"Cherokee County, Georgia","266,625"
"Clarke County, Georgia","128,671"
"Clay County, Georgia","2,847"
"Clayton County, Georgia","297,608"
"Clinch County, Georgia","6,746"
"Cobb County, Georgia","766,160"
"Coffee County, Georgia","43,088"
"Colquitt County, Georgia","45,902"
"Columbia County, Georgia","156,010"
"Cook County, Georgia","17,230"
"Coweta County, Georgia","146,154"
"Crawford County, Georgia","12,130"
"Crisp County, Georgia","20,127"
"Dade County, Georgia","16,246"
"Dawson County, Georgia","26,796"
"Decatur County, Georgia","29,369"
"DeKalb County, Georgia","764,386"
"Dodge County, Georgia","19,929"
"Dooly County, Georgia","11,212"
"Dougherty County, Georgia","85,790"
"Douglas County, Georgia","144,227"
"Early County, Georgia","10,855"
"Echols County, Georgia","3,703"
"Effingham County, Georgia","64,768"
"Elbert County, Georgia","19,638"
"Emanuel County, Georgia","22,769"
"Evans County, Georgia","10,772"
"Fannin County, Georgia","25,319"
"Fayette County, Georgia","119,186"
"Floyd County, Georgia","98,586"
"Forsyth County, Georgia","251,283"
"Franklin County, Georgia","23,424"
"Fulton County, Georgia","1,066,702"
"Gilmer County, Georgia","31,354"
"Glascock County, Georgia","2,882"
"Glynn County, Georgia","84,497"
"Gordon County, Georgia","57,543"
"Grady County, Georgia","26,237"
"Greene County, Georgia","18,907"
"Gwinnett County, Georgia","957,027"
"Habersham County, Georgia","46,033"
"Hall County, Georgia","203,166"
"Hancock County, Georgia","8,733"
"Haralson County, Georgia","29,920"
"Harris County, Georgia","34,669"
"Hart County, Georgia","25,824"
"Heard County, Georgia","11,414"
"Henry County, Georgia","240,719"
"Houston County, Georgia","163,641"
"Irwin County, Georgia","9,667"
"Jackson County, Georgia","75,904"
"Jasper County, Georgia","14,595"
"Jeff Davis County, Georgia","14,778"
"Jefferson County, Georgia","15,714"
"Jenkins County, Georgia","8,678"
"Johnson County, Georgia","9,192"
"Jones County, Georgia","28,351"
"Lamar County, Georgia","18,500"
"Lanier County, Georgia","9,880"
"Laurens County, Georgia","49,581"
"Lee County, Georgia","33,162"
"Liberty County, Georgia","65,274"
"Lincoln County, Georgia","7,688"
"Long County, Georgia","16,158"
"Lowndes County, Georgia","118,249"
"Lumpkin County, Georgia","33,487"
"McDuffie County, Georgia","21,625"
"McIntosh County, Georgia","10,975"
"Macon County, Georgia","12,081"
"Madison County, Georgia","30,123"
"Marion County, Georgia","7,506"
"Meriwether County, Georgia","20,610"
"Miller County, Georgia","5,997"
"Mitchell County, Georgia","21,762"
"Monroe County, Georgia","27,955"
"Montgomery County, Georgia","8,610"
"Morgan County, Georgia","20,096"
"Murray County, Georgia","39,982"
"Muscogee County, Georgia","206,922"
"Newton County, Georgia","112,491"
"Oconee County, Georgia","41,799"
"Oglethorpe County, Georgia","14,824"
"Paulding County, Georgia","168,660"
"Peach County, Georgia","27,989"
"Pickens County, Georgia","33,215"
"Pierce County, Georgia","19,716"
"Pike County, Georgia","18,881"
"Polk County, Georgia","42,854"
"Pulaski County, Georgia","9,857"
"Putnam County, Georgia","22,046"
"Quitman County, Georgia","2,238"
"Rabun County, Georgia","16,882"
"Randolph County, Georgia","6,423"
"Richmond County, Georgia","206,607"
"Rockdale County, Georgia","93,554"
"Schley County, Georgia","4,546"
"Screven County, Georgia","14,066"
"Seminole County, Georgia","9,152"
"Spalding County, Georgia","67,301"
"Stephens County, Georgia","26,787"
"Stewart County, Georgia","5,312"
"Sumter County, Georgia","29,612"
"Talbot County, Georgia","5,735"
"Taliaferro County, Georgia","1,562"
"Tattnall County, Georgia","24,287"
"Taylor County, Georgia","7,816"
"Telfair County, Georgia","12,477"
"Terrell County, Georgia","9,184"
"Thomas County, Georgia","45,806"
"Tift County, Georgia","41,347"
"Toombs County, Georgia","27,031"
"Towns County, Georgia","12,487"
"Treutlen County, Georgia","6,401"
"Troup County, Georgia","69,427"
"Turner County, Georgia","9,001"
"Twiggs County, Georgia","8,023"
"Union County, Georgia","24,626"
"Upson County, Georgia","27,699"
"Walker County, Georgia","67,660"
"Walton County, Georgia","96,669"
"Ware County, Georgia","36,247"
