County,Pop
"Dallas County, Iowa","99,677"
"Davis County, Iowa","9,110"
"Decatur County, Iowa","7,639"
"Delaware County, Iowa","17,484"
"Des Moines County, Iowa","38,907"
"Dickinson County, Iowa","17,704"
"Dubuque County, Iowa","99,264"
"Emmet County, Iowa","9,383"
"Fayette County, Iowa","19,511"
"Floyd County, Iowa","15,627"
"Franklin County, Iowa","10,016"
"Fremont County, Iowa","6,602"
"Greene County, Iowa","8,766"
"Grundy County, Iowa","12,329"
"Guthrie County, Iowa","10,623"
"Hamilton County, Iowa","15,039"
"Hancock County, Iowa","10,794"
"Hardin County, Iowa","16,873"
"Harrison County, Iowa","14,578"
"Henry County, Iowa","20,488"
"Howard County, Iowa","9,468"
"Humboldt County, Iowa","9,598"
"Ida County, Iowa","7,002"
"Iowa County, Iowa","16,663"
"Jackson County, Iowa","19,485"
"Jasper County, Iowa","37,809"
"Jefferson County, Iowa","15,665"
"Johnson County, Iowa","152,861"
"Jones County, Iowa","20,646"
"Keokuk County, Iowa","10,035"
"Kossuth County, Iowa","14,822"
"Lee County, Iowa","33,548"
"Linn County, Iowa","230,303"
"Louisa County, Iowa","10,837"
"Lucas County, Iowa","8,636"
"Lyon County, Iowa","11,934"
"Madison County, Iowa","16,545"
"Mahaska County, Iowa","22,180"
"Marion County, Iowa","33,417"
"Marshall County, Iowa","40,104"
"Mills County, Iowa","14,486"
"Mitchell County, Iowa","10,563"
"Monona County, Iowa","8,757"
"Monroe County, Iowa","7,574"
"Montgomery County, Iowa","10,329"
"Muscatine County, Iowa","43,242"
"O'Brien County, Iowa","14,187"
"Osceola County, Iowa","6,196"
"Page County, Iowa","15,213"
"Palo Alto County, Iowa","8,999"
"Plymouth County, Iowa","25,697"
"Pocahontas County, Iowa","7,077"
"Polk County, Iowa","492,411"
"Pottawattamie County, Iowa","93,670"
"Poweshiek County, Iowa","18,658"
"Ringgold County, Iowa","4,663"
"Sac County, Iowa","9,817"
"Scott County, Iowa","174,669"
"Shelby County, Iowa","11,748"
"Sioux County, Iowa","35,870"
"Story County, Iowa","98,536"
"Tama County, Iowa","17,130"
"Taylor County, Iowa","5,896"
"Union County, Iowa","12,145"
"Van Buren County, Iowa","7,203"
"Wapello County, Iowa","35,445"
"Warren County, Iowa","52,402"
"Washington County, Iowa","22,567"
"Wayne County, Iowa","6,495"
"Webster County, Iowa","36,996"
"Winnebago County, Iowa","10,683"
"Winneshiek County, Iowa","20,061"
"Woodbury County, Iowa","105,944"
"Worth County, Iowa","7,444"
"Wright County, Iowa","12,941"
"Allen County, Kansas","12,522"
"Anderson County, Kansas","7,839"
"Atchison County, Kansas","16,341"
"Barber County, Kansas","4,233"
"Barton County, Kansas","25,495"
"Bourbon County, Kansas","14,361"
"Brown County, Kansas","9,511"
"Butler County, Kansas","67,383"
"Chase County, Kansas","2,576"
"Chautauqua County, Kansas","3,383"
"Cherokee County, Kansas","19,357"
"Cheyenne County, Kansas","2,616"
"Clark County, Kansas","1,988"
"Clay County, Kansas","8,112"
"Cloud County, Kansas","9,034"
"Coffey County, Kansas","8,358"
"Comanche County, Kansas","1,687"
"Cowley County, Kansas","34,547"
"Crawford County, Kansas","38,976"
"Decatur County, Kansas","2,770"
"Dickinson County, Kansas","18,397"
"Doniphan County, Kansas","7,498"
"Douglas County, Kansas","118,784"
"Edwards County, Kansas","2,901"
"Elk County, Kansas","2,479"
"Ellis County, Kansas","28,932"
"Ellsworth County, Kansas","6,383"
"Finney County, Kansas","38,467"
"Ford County, Kansas","34,282"
"Franklin County, Kansas","25,994"
"Geary County, Kansas","36,730"
"Gove County, Kansas","2,717"
"Graham County, Kansas","2,417"
"Grant County, Kansas","7,353"
"Gray County, Kansas","5,654"
"Greeley County, Kansas","1,282"
"Greenwood County, Kansas","6,006"
"Hamilton County, Kansas","2,518"
"Harper County, Kansas","5,484"
"Harvey County, Kansas","34,034"
"Haskell County, Kansas","3,781"
"Hodgeman County, Kansas","1,723"
"Jackson County, Kansas","13,234"
"Jefferson County, Kansas","18,359"
"Jewell County, Kansas","2,938"
"Johnson County, Kansas","609,864"
"Kearny County, Kansas","3,981"
"Kingman County, Kansas","7,461"
"Kiowa County, Kansas","2,458"
"Labette County, Kansas","20,188"
"Lane County, Kansas","1,574"
"Leavenworth County, Kansas","81,897"
"Lincoln County, Kansas","2,940"
"Linn County, Kansas","9,591"
"Logan County, Kansas","2,762"
"Lyon County, Kansas","32,177"
"McPherson County, Kansas","30,220"
"Marion County, Kansas","11,819"
"Marshall County, Kansas","10,038"
"Meade County, Kansas","4,055"
"Miami County, Kansas","34,205"
"Mitchell County, Kansas","5,792"
"Montgomery County, Kansas","31,484"
"Morris County, Kansas","5,389"
"Morton County, Kansas","2,697"
"Nemaha County, Kansas","10,277"
"Neosho County, Kansas","15,902"
"Ness County, Kansas","2,676"
"Norton County, Kansas","5,458"
"Osage County, Kansas","15,770"
"Osborne County, Kansas","3,501"
"Ottawa County, Kansas","5,729"
"Pawnee County, Kansas","6,259"
"Phillips County, Kansas","4,990"
"Pottawatomie County, Kansas","25,344"
"Pratt County, Kansas","9,159"
"Rawlins County, Kansas","2,560"
"Reno County, Kansas","61,898"
"Republic County, Kansas","4,682"
"Rice County, Kansas","9,423"
"Riley County, Kansas","71,963"
"Rooks County, Kansas","4,921"
"Rush County, Kansas","2,951"
"Russell County, Kansas","6,684"
"Saline County, Kansas","54,301"
"Scott County, Kansas","5,151"
"Sedgwick County, Kansas","523,830"
"Seward County, Kansas","21,962"
"Shawnee County, Kansas","178,909"
"Sheridan County, Kansas","2,448"
"Sherman County, Kansas","5,928"
"Smith County, Kansas","3,560"
"Stafford County, Kansas","4,070"
"Stanton County, Kansas","2,085"
"Stevens County, Kansas","5,252"
"Sumner County, Kansas","22,392"
"Thomas County, Kansas","7,933"
"Trego County, Kansas","2,807"
"Wabaunsee County, Kansas","6,872"
"Wallace County, Kansas","1,517"
"Washington County, Kansas","5,532"
"Wichita County, Kansas","2,153"
"Wilson County, Kansas","8,625"
"Woodson County, Kansas","3,115"
"Wyandotte County, Kansas","169,230"
"Adair County, Kentucky","18,903"
"Allen County, Kentucky","20,580"
"Anderson County, Kentucky","23,851"
"Ballard County, Kentucky","7,730"
"Barren County, Kentucky","44,482"
"Bath County, Kentucky","12,747"
"Bell County, Kentucky","24,102"
"Boone County, Kentucky","135,995"
"Bourbon County, Kentucky","20,250"
"Boyd County, Kentucky","48,253"
"Boyle County, Kentucky","30,619"
"Bracken County, Kentucky","8,403"
"Breathitt County, Kentucky","13,717"
"Breckinridge County, Kentucky","20,433"
"Bullitt County, Kentucky","82,226"
"Butler County, Kentucky","12,371"
"Caldwell County, Kentucky","12,648"
"Calloway County, Kentucky","37,098"
"Campbell County, Kentucky","93,075"
"Carlisle County, Kentucky","4,819"
"Carroll County, Kentucky","10,809"
"Carter County, Kentucky","26,626"
"Casey County, Kentucky","15,946"
"Christian County, Kentucky","72,818"
"Clark County, Kentucky","36,993"
"Clay County, Kentucky","20,339"
"Clinton County, Kentucky","9,253"
"Crittenden County, Kentucky","8,988"
"Cumberland County, Kentucky","5,887"
"Daviess County, Kentucky","103,320"
"Edmonson County, Kentucky","12,133"
"Elliott County, Kentucky","7,352"
"Estill County, Kentucky","14,166"
"Fayette County, Kentucky","322,567"
"Fleming County, Kentucky","15,086"
"Floyd County, Kentucky","35,948"
"Franklin County, Kentucky","51,539"
"Fulton County, Kentucky","6,515"
"Gallatin County, Kentucky","8,693"
"Garrard County, Kentucky","16,949"
"Grant County, Kentucky","24,946"
"Graves County, Kentucky","36,657"
"Grayson County, Kentucky","26,418"
"Green County, Kentucky","11,109"
"Greenup County, Kentucky","35,970"
"Hancock County, Kentucky","9,097"
"Hardin County, Kentucky","110,694"
"Harlan County, Kentucky","26,833"
"Harrison County, Kentucky","18,692"
"Hart County, Kentucky","19,281"
"Henderson County, Kentucky","44,791"
"Henry County, Kentucky","15,682"
"Hickman County, Kentucky","4,523"
"Hopkins County, Kentucky","45,422"
"Jackson County, Kentucky","12,958"
"Jefferson County, Kentucky","782,956"
"Jessamine County, Kentucky","52,987"
"Johnson County, Kentucky","22,679"
"Kenton County, Kentucky","169,028"
"Knott County, Kentucky","14,253"
"Knox County, Kentucky","30,196"
"Larue County, Kentucky","14,869"
"Laurel County, Kentucky","62,613"
"Lawrence County, Kentucky","16,293"
"Lee County, Kentucky","7,394"
"Leslie County, Kentucky","10,516"
"Letcher County, Kentucky","21,551"
"Lewis County, Kentucky","13,079"
"Lincoln County, Kentucky","24,276"
"Livingston County, Kentucky","8,892"
"Logan County, Kentucky","27,433"
"Lyon County, Kentucky","8,683"
"McCracken County, Kentucky","67,871"
"McCreary County, Kentucky","16,887"
"McLean County, Kentucky","9,152"
"Madison County, Kentucky","92,707"
"Magoffin County, Kentucky","11,639"
"Marion County, Kentucky","19,577"
"Marshall County, Kentucky","31,661"
"Martin County, Kentucky","11,287"
"Mason County, Kentucky","17,121"
"Meade County, Kentucky","30,011"
"Menifee County, Kentucky","6,114"
"Mercer County, Kentucky","22,643"
"Metcalfe County, Kentucky","10,288"
"Monroe County, Kentucky","11,336"
"Montgomery County, Kentucky","28,104"
"Morgan County, Kentucky","13,724"
"Muhlenberg County, Kentucky","30,930"
"Nelson County, Kentucky","46,737"
"Nicholas County, Kentucky","7,532"
"Ohio County, Kentucky","23,772"
"Oldham County, Kentucky","67,609"
"Owen County, Kentucky","11,271"
"Owsley County, Kentucky","4,052"
"Pendleton County, Kentucky","14,652"
"Perry County, Kentucky","28,465"
"Pike County, Kentucky","58,663"
"Powell County, Kentucky","13,128"
"Pulaski County, Kentucky","65,033"
"Robertson County, Kentucky","2,192"
"Rockcastle County, Kentucky","16,042"
"Rowan County, Kentucky","24,654"
"Russell County, Kentucky","17,990"
"Scott County, Kentucky","57,153"
"Shelby County, Kentucky","48,101"
"Simpson County, Kentucky","19,595"
"Spencer County, Kentucky","19,433"
"Taylor County, Kentucky","26,019"
"Todd County, Kentucky","12,249"
"Trigg County, Kentucky","14,057"
"Trimble County, Kentucky","8,470"
"Union County, Kentucky","13,670"
"Warren County, Kentucky","134,551"
"Washington County, Kentucky","12,028"
"Wayne County, Kentucky","19,559"
"Webster County, Kentucky","13,014"
"Whitley County, Kentucky","36,715"
"Wolfe County, Kentucky","6,561"
"Woodford County, Kentucky","26,874"
"Acadia Parish, Louisiana","57,569"
"Allen Parish, Louisiana","22,751"
"Ascension Parish, Louisiana","126,498"
"Assumption Parish, Louisiana","21,040"
"Avoyelles Parish, Louisiana","39,690"
"Beauregard Parish, Louisiana","36,554"
"Bienville Parish, Louisiana","12,989"
"Bossier Parish, Louisiana","128,736"
"Caddo Parish, Louisiana","237,857"
"Calcasieu Parish, Louisiana","216,779"
"Caldwell Parish, Louisiana","9,642"
"Cameron Parish, Louisiana","5,619"
"Catahoula Parish, Louisiana","8,903"
"Claiborne Parish, Louisiana","14,168"
"Concordia Parish, Louisiana","18,681"
"De Soto Parish, Louisiana","26,809"
"East Baton Rouge Parish, Louisiana","456,781"
"East Carroll Parish, Louisiana","7,460"
"East Feliciana Parish, Louisiana","19,536"
"Evangeline Parish, Louisiana","32,351"
"Franklin Parish, Louisiana","19,774"
"Grant Parish, Louisiana","22,163"
"Iberia Parish, Louisiana","70,293"
"Iberville Parish, Louisiana","30,240"
"Jackson Parish, Louisiana","15,034"
"Jefferson Parish, Louisiana","440,794"
"Jefferson Davis Parish, Louisiana","32,250"
"Lafayette Parish, Louisiana","241,756"
"Lafourche Parish, Louisiana","97,552"
"LaSalle Parish, Louisiana","14,797"
"Lincoln Parish, Louisiana","48,398"
"Livingston Parish, Louisiana","142,284"
"Madison Parish, Louisiana","10,015"
"Morehouse Parish, Louisiana","25,629"
"Natchitoches Parish, Louisiana","37,519"
"Orleans Parish, Louisiana","383,998"
"Ouachita Parish, Louisiana","160,364"
"Plaquemines Parish, Louisiana","23,515"
"Pointe Coupee Parish, Louisiana","20,757"
"Rapides Parish, Louisiana","130,030"
"Red River Parish, Louisiana","7,624"
"Richland Parish, Louisiana","20,049"
"Sabine Parish, Louisiana","22,144"
"St. Bernard Parish, Louisiana","43,766"
"St. Charles Parish, Louisiana","52,548"
"St. Helena Parish, Louisiana","10,925"
"St. James Parish, Louisiana","20,194"
"St. John the Baptist Parish, Louisiana","42,477"
"St. Landry Parish, Louisiana","82,552"
"St. Martin Parish, Louisiana","51,766"
"St. Mary Parish, Louisiana","49,405"
"St. Tammany Parish, Louisiana","264,575"
"Tangipahoa Parish, Louisiana","133,149"
"Tensas Parish, Louisiana","4,147"
"Terrebonne Parish, Louisiana","109,583"
"Union Parish, Louisiana","21,106"
"Vermilion Parish, Louisiana","56,973"
"Vernon Parish, Louisiana","48,754"
"Washington Parish, Louisiana","45,456"
"Webster Parish, Louisiana","36,963"
"West Baton Rouge Parish, Louisiana","27,201"
"West Carroll Parish, Louisiana","9,755"
"West Feliciana Parish, Louisiana","15,307"
"Winn Parish, Louisiana","13,755"
"Androscoggin County, Maine","111,147"
"Aroostook County, Maine","67,107"
"Cumberland County, Maine","303,076"
"Franklin County, Maine","29,447"
"Hancock County, Maine","55,477"
"Kennebec County, Maine","123,636"
"Knox County, Maine","40,608"
"Lincoln County, Maine","35,240"
"Oxford County, Maine","57,766"
"Penobscot County, Maine","152,202"
"Piscataquis County, Maine","16,799"
"Sagadahoc County, Maine","36,699"
"Somerset County, Maine","50,472"
"Waldo County, Maine","39,596"
"Washington County, Maine","31,088"
"York County, Maine","211,981"
"Allegany County, Maryland","68,115"
"Anne Arundel County, Maryland","588,265"
"Baltimore County, Maryland","854,554"
"Calvert County, Maryland","92,785"
"Caroline County, Maryland","33,299"
"Carroll County, Maryland","172,890"
"Cecil County, Maryland","103,726"
"Charles County, Maryland","166,621"
"Dorchester County, Maryland","32,530"
"Frederick County, Maryland","271,709"
"Garrett County, Maryland","28,804"
"Harford County, Maryland","260,924"
"Howard County, Maryland","332,316"
"Kent County, Maryland","19,195"
"Montgomery County, Maryland","1,062,054"
"Prince George's County, Maryland","967,194"
"Queen Anne's County, Maryland","49,871"
"St. Mary's County, Maryland","113,775"
"Somerset County, Maryland","24,618"
"Talbot County, Maryland","37,520"
"Washington County, Maryland","154,709"
"Wicomico County, Maryland","103,586"
"Worcester County, Maryland","52,460"
"Baltimore city, Maryland","585,693"
"Barnstable County, Massachusetts","229,004"
"Berkshire County, Massachusetts","129,036"
"Bristol County, Massachusetts","579,210"
"Dukes County, Massachusetts","20,595"
"Essex County, Massachusetts","809,818"
"Franklin County, Massachusetts","71,035"
"Hampden County, Massachusetts","465,834"
"Hampshire County, Massachusetts","162,305"
"Middlesex County, Massachusetts","1,632,002"
"Nantucket County, Massachusetts","14,251"
"Norfolk County, Massachusetts","725,999"
"Plymouth County, Massachusetts","530,820"
"Suffolk County, Massachusetts","797,941"
"Worcester County, Massachusetts","862,099"
"Alcona County, Michigan","10,167"
"Alger County, Michigan","8,837"
"Allegan County, Michigan","120,499"
"Alpena County, Michigan","28,909"
"Antrim County, Michigan","23,428"
"Arenac County, Michigan","15,007"
"Baraga County, Michigan","8,149"
"Barry County, Michigan","62,428"
"Bay County, Michigan","103,856"
"Benzie County, Michigan","17,973"
"Berrien County, Michigan","154,320"
"Branch County, Michigan","44,860"
"Calhoun County, Michigan","134,293"
"Cass County, Michigan","51,591"
"Charlevoix County, Michigan","26,051"
"Cheboygan County, Michigan","25,586"
"Chippewa County, Michigan","36,784"
"Clare County, Michigan","30,857"
"Clinton County, Michigan","79,123"
"Crawford County, Michigan","12,994"
"Delta County, Michigan","36,896"
"Dickinson County, Michigan","25,952"
"Eaton County, Michigan","109,174"
"Emmet County, Michigan","34,105"
"Genesee County, Michigan","406,217"
"Gladwin County, Michigan","25,386"
"Gogebic County, Michigan","14,377"
"Grand Traverse County, Michigan","95,246"
"Gratiot County, Michigan","41,752"
"Hillsdale County, Michigan","45,759"
"Houghton County, Michigan","37,360"
"Huron County, Michigan","31,408"
"Ingham County, Michigan","284,891"
"Ionia County, Michigan","66,793"
"Iosco County, Michigan","25,230"
"Iron County, Michigan","11,628"
"Isabella County, Michigan","64,396"
"Jackson County, Michigan","160,375"
"Kalamazoo County, Michigan","261,663"
"Kalkaska County, Michigan","17,928"
"Kent County, Michigan","657,984"
"Keweenaw County, Michigan","2,055"
"Lake County, Michigan","12,100"
"Lapeer County, Michigan","88,615"
"Leelanau County, Michigan","22,304"
"Lenawee County, Michigan","99,424"
"Livingston County, Michigan","193,869"
"Luce County, Michigan","5,339"
"Mackinac County, Michigan","10,831"
"Macomb County, Michigan","881,219"
"Manistee County, Michigan","25,029"
"Marquette County, Michigan","66,020"
"Mason County, Michigan","29,063"
"Mecosta County, Michigan","39,713"
"Menominee County, Michigan","23,500"
"Midland County, Michigan","83,498"
"Missaukee County, Michigan","15,048"
"Monroe County, Michigan","154,812"
"Montcalm County, Michigan","66,622"
"Montmorency County, Michigan","9,154"
"Muskegon County, Michigan","175,814"
"Newaygo County, Michigan","49,971"
"Oakland County, Michigan","1,274,395"
"Oceana County, Michigan","26,658"
"Ogemaw County, Michigan","20,769"
"Ontonagon County, Michigan","5,814"
"Osceola County, Michigan","22,890"
"Oscoda County, Michigan","8,225"
"Otsego County, Michigan","25,095"
"Ottawa County, Michigan","296,207"
"Presque Isle County, Michigan","12,981"
"Roscommon County, Michigan","23,450"
"Saginaw County, Michigan","190,128"
"St. Clair County, Michigan","160,382"
"St. Joseph County, Michigan","60,939"
"Sanilac County, Michigan","40,619"
"Schoolcraft County, Michigan","8,049"
"Shiawassee County, Michigan","68,095"
"Tuscola County, Michigan","53,322"
"Van Buren County, Michigan","75,593"
"Washtenaw County, Michigan","372,265"
"Wayne County, Michigan","1,793,549"
"Wexford County, Michigan","33,668"
"Aitkin County, Minnesota","15,703"
"Anoka County, Minnesota","363,892"
"Becker County, Minnesota","35,176"
"Beltrami County, Minnesota","46,230"
"Benton County, Minnesota","41,381"
"Big Stone County, Minnesota","5,168"
"Blue Earth County, Minnesota","69,129"
"Brown County, Minnesota","25,914"
"Carlton County, Minnesota","36,201"
"Carver County, Minnesota","106,914"
"Cass County, Minnesota","30,065"
"Chippewa County, Minnesota","12,594"
"Chisago County, Minnesota","56,621"
"Clay County, Minnesota","65,309"
"Clearwater County, Minnesota","8,521"
"Cook County, Minnesota","5,599"
"Cottonwood County, Minnesota","11,506"
"Crow Wing County, Minnesota","66,122"
"Dakota County, Minnesota","439,884"
"Dodge County, Minnesota","20,873"
"Douglas County, Minnesota","39,002"
"Faribault County, Minnesota","13,922"
"Fillmore County, Minnesota","21,229"
"Freeborn County, Minnesota","30,901"
"Goodhue County, Minnesota","47,580"
"Grant County, Minnesota","6,075"
"Hennepin County, Minnesota","1,281,568"
"Houston County, Minnesota","18,849"
"Hubbard County, Minnesota","21,348"
"Isanti County, Minnesota","41,133"
"Itasca County, Minnesota","45,018"
"Jackson County, Minnesota","9,992"
"Kanabec County, Minnesota","16,027"
"Kandiyohi County, Minnesota","43,733"
"Kittson County, Minnesota","4,217"
"Koochiching County, Minnesota","12,059"
"Lac qui Parle County, Minnesota","6,722"
"Lake County, Minnesota","10,910"
"Lake of the Woods County, Minnesota","3,765"
"Le Sueur County, Minnesota","28,672"
"Lincoln County, Minnesota","5,644"
"Lyon County, Minnesota","25,268"
"McLeod County, Minnesota","36,759"
"Mahnomen County, Minnesota","5,400"
"Marshall County, Minnesota","9,032"
"Martin County, Minnesota","20,024"
"Meeker County, Minnesota","23,400"
"Mille Lacs County, Minnesota","26,467"
"Morrison County, Minnesota","34,010"
"Mower County, Minnesota","40,034"
"Murray County, Minnesota","8,175"
"Nicollet County, Minnesota","34,464"
"Nobles County, Minnesota","22,294"
"Norman County, Minnesota","6,442"
"Olmsted County, Minnesota","162,849"
"Otter Tail County, Minnesota","60,074"
"Pennington County, Minnesota","13,999"
"Pine County, Minnesota","28,883"
"Pipestone County, Minnesota","9,416"
"Polk County, Minnesota","31,194"
"Pope County, Minnesota","11,309"
"Ramsey County, Minnesota","552,362"
"Red Lake County, Minnesota","3,936"
"Redwood County, Minnesota","15,419"
"Renville County, Minnesota","14,730"
"Rice County, Minnesota","67,098"
"Rock County, Minnesota","9,701"
"Roseau County, Minnesota","15,323"
"St. Louis County, Minnesota","200,223"
"Scott County, Minnesota","150,930"
"Sherburne County, Minnesota","97,186"
"Sibley County, Minnesota","14,842"
"Stearns County, Minnesota","158,297"
"Steele County, Minnesota","37,400"
"Stevens County, Minnesota","9,673"
"Swift County, Minnesota","9,835"
"Todd County, Minnesota","25,253"
"Traverse County, Minnesota","3,366"
"Wabasha County, Minnesota","21,380"
"Wadena County, Minnesota","14,065"
"Waseca County, Minnesota","18,966"
"Washington County, Minnesota","267,563"
"Watonwan County, Minnesota","11,251"
"Wilkin County, Minnesota","6,513"
"Winona County, Minnesota","49,662"
"Wright County, Minnesota","141,336"
"Yellow Medicine County, Minnesota","9,533"
"Adams County, Mississippi","29,538"
"Alcorn County, Mississippi","34,743"
"Amite County, Mississippi","12,721"
"Attala County, Mississippi","17,885"
"Benton County, Mississippi","7,644"
"Bolivar County, Mississippi","30,973"
"Calhoun County, Mississippi","13,267"
"Carroll County, Mississippi","9,995"
"Chickasaw County, Mississippi","17,103"
"Choctaw County, Mississippi","8,246"
"Claiborne County, Mississippi","9,135"
"Clarke County, Mississippi","15,615"
"Clay County, Mississippi","18,635"
"Coahoma County, Mississippi","21,393"
"Copiah County, Mississippi","28,371"
"Covington County, Mississippi","18,339"
"DeSoto County, Mississippi","185,317"
"Forrest County, Mississippi","78,163"
"Franklin County, Mississippi","7,681"
"George County, Mississippi","24,348"
"Greene County, Mississippi","13,533"
"Grenada County, Mississippi","21,627"
"Hancock County, Mississippi","46,047"
"Harrison County, Mississippi","208,621"
"Hinds County, Mississippi","227,750"
"Holmes County, Mississippi","17,001"
"Humphreys County, Mississippi","7,790"
"Issaquena County, Mississippi","1,335"
"Itawamba County, Mississippi","23,861"
"Jackson County, Mississippi","143,259"
"Jasper County, Mississippi","16,370"
"Jefferson County, Mississippi","7,260"
"Jefferson Davis County, Mississippi","11,323"
"Jones County, Mississippi","67,248"
"Kemper County, Mississippi","8,981"
"Lafayette County, Mississippi","55,812"
"Lamar County, Mississippi","64,223"
"Lauderdale County, Mississippi","72,983"
"Lawrence County, Mississippi","12,015"
"Leake County, Mississippi","21,272"
"Lee County, Mississippi","83,347"
"Leflore County, Mississippi","28,348"
"Lincoln County, Mississippi","34,906"
"Lowndes County, Mississippi","58,882"
"Madison County, Mississippi","109,149"
"Marion County, Mississippi","24,438"
"Marshall County, Mississippi","33,755"
"Monroe County, Mississippi","34,179"
"Montgomery County, Mississippi","9,822"
"Neshoba County, Mississippi","29,094"
"Newton County, Mississippi","21,293"
"Noxubee County, Mississippi","10,279"
"Oktibbeha County, Mississippi","51,780"
"Panola County, Mississippi","33,209"
"Pearl River County, Mississippi","56,144"
"Perry County, Mississippi","11,514"
"Pike County, Mississippi","40,329"
"Pontotoc County, Mississippi","31,192"
"Prentiss County, Mississippi","25,000"
"Quitman County, Mississippi","6,173"
"Rankin County, Mississippi","157,026"
"Scott County, Mississippi","27,987"
"Sharkey County, Mississippi","3,798"
"Simpson County, Mississippi","25,950"
"Smith County, Mississippi","14,209"
"Stone County, Mississippi","18,336"
"Sunflower County, Mississippi","25,973"
"Tallahatchie County, Mississippi","12,715"
"Tate County, Mississippi","28,066"
"Tippah County, Mississippi","21,810"
"Tishomingo County, Mississippi","18,854"
"Tunica County, Mississippi","9,777"
"Union County, Mississippi","27,782"
"Walthall County, Mississippi","13,882"
"Warren County, Mississippi","44,721"
"Washington County, Mississippi","44,918"
"Wayne County, Mississippi","19,774"
"Webster County, Mississippi","9,924"
"Wilkinson County, Mississippi","8,586"
"Winston County, Mississippi","17,709"
"Yalobusha County, Mississippi","12,487"
"Yazoo County, Mississippi","26,748"
"Adair County, Missouri","25,315"
"Andrew County, Missouri","18,128"
"Atchison County, Missouri","5,306"
"Audrain County, Missouri","24,964"
"Barry County, Missouri","34,533"
"Barton County, Missouri","11,625"
"Bates County, Missouri","16,032"
"Benton County, Missouri","19,395"
"Bollinger County, Missouri","10,572"
"Boone County, Missouri","183,607"
"Buchanan County, Missouri","84,798"
"Butler County, Missouri","42,128"
"Caldwell County, Missouri","8,813"
"Callaway County, Missouri","44,290"
"Camden County, Missouri","42,746"
"Cape Girardeau County, Missouri","81,707"
"Carroll County, Missouri","8,497"
"Carter County, Missouri","5,201"
"Cass County, Missouri","107,816"
"Cedar County, Missouri","14,187"
"Chariton County, Missouri","7,409"
"Christian County, Missouri","88,846"
"Clark County, Missouri","6,640"
"Clay County, Missouri","253,322"
"Clinton County, Missouri","21,182"
"Cole County, Missouri","77,284"
"Cooper County, Missouri","17,108"
"Crawford County, Missouri","23,059"
"Dade County, Missouri","7,571"
"Dallas County, Missouri","17,070"
"Daviess County, Missouri","8,426"
"DeKalb County, Missouri","11,039"
"Dent County, Missouri","14,419"
"Douglas County, Missouri","11,575"
"Dunklin County, Missouri","28,286"
"Franklin County, Missouri","104,688"
"Gasconade County, Missouri","14,794"
"Gentry County, Missouri","6,165"
"Greene County, Missouri","298,915"
"Grundy County, Missouri","9,814"
"Harrison County, Missouri","8,158"
"Henry County, Missouri","21,946"
"Hickory County, Missouri","8,277"
"Holt County, Missouri","4,226"
"Howard County, Missouri","10,148"
"Howell County, Missouri","39,748"
"Iron County, Missouri","9,537"
"Jackson County, Missouri","717,206"
"Jasper County, Missouri","122,750"
"Jefferson County, Missouri","226,572"
"Johnson County, Missouri","54,007"
"Knox County, Missouri","3,745"
"Laclede County, Missouri","36,042"
"Lafayette County, Missouri","32,994"
"Lawrence County, Missouri","37,995"
"Lewis County, Missouri","10,036"
"Lincoln County, Missouri","59,577"
"Linn County, Missouri","11,870"
"Livingston County, Missouri","14,546"
"McDonald County, Missouri","23,308"
"Macon County, Missouri","15,212"
"Madison County, Missouri","12,627"
"Maries County, Missouri","8,430"
"Marion County, Missouri","28,527"
"Mercer County, Missouri","3,537"
"Miller County, Missouri","24,726"
"Mississippi County, Missouri","12,575"
"Moniteau County, Missouri","15,477"
"Monroe County, Missouri","8,662"
"Montgomery County, Missouri","11,319"
"Morgan County, Missouri","21,000"
"New Madrid County, Missouri","16,435"
"Newton County, Missouri","58,644"
"Nodaway County, Missouri","21,240"
"Oregon County, Missouri","8,641"
"Osage County, Missouri","13,281"
"Ozark County, Missouri","8,556"
"Pemiscot County, Missouri","15,661"
"Perry County, Missouri","18,954"
"Pettis County, Missouri","42,984"
"Phelps County, Missouri","44,640"
"Pike County, Missouri","17,590"
"Platte County, Missouri","106,718"
"Polk County, Missouri","31,521"
"Pulaski County, Missouri","53,958"
"Putnam County, Missouri","4,680"
"Ralls County, Missouri","10,355"
"Randolph County, Missouri","24,713"
"Ray County, Missouri","23,160"
"Reynolds County, Missouri","6,093"
"Ripley County, Missouri","10,678"
"St. Charles County, Missouri","405,262"
"St. Clair County, Missouri","9,287"
"Ste. Genevieve County, Missouri","18,479"
"St. Francois County, Missouri","66,926"
"St. Louis County, Missouri","1,004,310"
"Saline County, Missouri","23,319"
"Schuyler County, Missouri","4,034"
"Scotland County, Missouri","4,709"
"Scott County, Missouri","38,058"
"Shannon County, Missouri","7,027"
"Shelby County, Missouri","6,104"
"Stoddard County, Missouri","28,674"
"Stone County, Missouri","31,077"
"Sullivan County, Missouri","5,999"
"Taney County, Missouri","56,058"
"Texas County, Missouri","24,495"
"Vernon County, Missouri","19,710"
"Warren County, Missouri","35,538"
"Washington County, Missouri","23,514"
"Wayne County, Missouri","10,973"
"Webster County, Missouri","39,085"
"Worth County, Missouri","1,967"
"Wright County, Missouri","18,187"
"St. Louis city, Missouri","301,574"
