race,treatment,outcome,effect,upper_conf,lower_conf,control_mean,treatment_mean,p_boot
all,category_electronics,fast_food,-0.48176763,0.804981874,0.718186824,0.385532731,0.387399095,0.118
all,category_electronics,soda,-0.240586336,1.57644408,1.714698807,0.0276476,0.027714276,0.359
all,category_electronics,bmi,0.006261762,0.13681495,0.139030257,28.90774065,28.90593063,0.467
all,category_electronics,bmi_abs,0.001810021,0.039504299,0.040215716,28.90774065,28.90593063,0.467
all,category_electronics,ow,0.018052799,0.396426545,0.387277958,0.701158698,0.701032142,0.467
all,category_waterproofing,Fresh_FV,-1.607075956,0.58294131,0.532239403,0.604475001,0.61434804,0
all,category_waterproofing,fast_food,-1.319292286,0.759465937,0.776100581,0.384246654,0.389383764,0
all,category_waterproofing,soda,-0.419523198,1.75653889,1.67876735,0.027748439,0.027865341,0.34
all,category_waterproofing,bmi,0.04610183,0.139164623,0.153941219,28.79938769,28.78611677,0.274
all,category_waterproofing,bmi_abs,0.013270927,0.040064726,0.044319205,28.79938769,28.78611677,0.274
all,category_waterproofing,ow,0.23937187,0.398992243,0.411742503,0.695182643,0.693522545,0.133
