zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
60653,44015.45,0.710725457,0.03147482,0.052212867,0.628760821,0.027302588,30.28196613,0.838709677,0.439581113,0.042261234,0.906490578,0.019455629,0.000693481,0.001386963,0.002080444,38.58064516,0.290322581,0.439581113,False
63033,64787.56,0.712815288,0.022222222,0.657274954,0.634772525,0.035836151,32.69129839,0.89516129,0.472558801,0.295965499,0.62923599,0.011877268,0.0,0.002396645,0.000599161,39.44354839,0.153225806,0.472558801,False
63034,77929.82,0.613622291,0.022460938,0.899271338,0.540624632,0.029505896,30.568052,0.84,0.491241767,0.334024664,0.605269058,0.02455157,0.000589971,0.000589971,0.000589971,42.06,0.2,0.491241767,True
63101,58112.17,0.469059406,0.030558483,0.439865094,0.560816173,0.029380127,28.790354,0.7,0.430057514,0.38510445,0.558583106,0.003935816,0.003405995,0.004087193,0.0,34.94,0.32,0.430057514,False
63112,55301.88,0.657399103,0.027083333,0.623770138,0.743699783,0.024616004,27.51323218,0.609195402,0.348011872,0.223901511,0.694274847,0.022219998,0.001302932,0.003257329,0.000651466,35.37931034,0.229885057,0.348011872,False
63118,43211.83,0.74629916,0.024870466,0.305756409,0.481930472,0.031417054,29.23382212,0.730769231,0.333760121,0.349774384,0.506560222,0.078930927,0.003342246,0.004010695,0.000668449,35.58653846,0.317307692,0.333760121,False
63121,40917.34,0.785326401,0.025773196,0.650817166,0.554079689,0.015418632,30.56155455,0.727272727,0.54704071,0.134712771,0.821055547,0.010128185,0.000618429,0.003710575,0.000618429,41.6969697,0.242424242,0.54704071,False
63135,46263.34,0.787519227,0.024870466,0.631899542,0.511385825,0.042350489,32.73542791,0.88372093,0.372837393,0.332698029,0.608404611,0.017757531,0.0,0.001819284,0.000606428,39.60465116,0.162790698,0.372837393,False
63136,39439.43,0.878529568,0.024742268,0.613479018,0.46776043,0.036862625,35.55647593,0.962962963,0.59319444,0.068227291,0.892846027,0.008114357,0.000627353,0.00250941,0.000627353,38.75925926,0.166666667,0.59319444,False
63137,38678.84,0.872521474,0.03164557,0.717716236,0.606529986,0.02709096,34.86763529,0.941176471,0.471283353,0.175513196,0.787194526,0.008602151,0.001294498,0.001294498,0.000647249,38.82352941,0.147058824,0.471283353,False
